Step	E_el	E_frac	E_tot
0	4.637451e-02	4.215170e-05	4.641666e-02
1	1.704209e-01	3.244890e-04	1.707454e-01
2	2.680391e-01	1.041231e-03	2.690804e-01
3	3.546845e-01	2.231628e-03	3.569161e-01
4	4.376080e-01	3.828495e-03	4.414365e-01
5	4.175174e+00	5.819814e-03	4.180994e+00
6	5.057190e+01	8.054001e-03	5.057995e+01
7	3.867790e+02	1.037331e-02	3.867894e+02
8	8.018624e+02	1.265855e-02	8.018750e+02
9	1.411800e+03	1.494801e-02	1.411815e+03
10	2.383630e+03	1.745228e-02	2.383647e+03
11	5.379981e+03	2.024787e-02	5.380001e+03
12	9.119006e+03	2.334314e-02	9.119029e+03
13	1.555569e+04	2.688025e-02	1.555572e+04
14	2.465935e+04	3.161624e-02	2.465938e+04
15	3.647716e+04	3.753874e-02	3.647719e+04
16	5.032096e+04	4.329848e-02	5.032101e+04
17	7.701159e+04	4.982826e-02	7.701164e+04
18	1.072497e+05	6.037393e-02	1.072498e+05
19	1.503794e+05	7.647970e-02	1.503795e+05
20	2.267250e+05	9.654820e-02	2.267251e+05
21	4.154794e+05	1.220153e-01	4.154796e+05
22	6.383942e+05	1.561650e-01	6.383943e+05
23	8.746892e+05	1.909027e-01	8.746894e+05
24	1.018136e+06	2.227078e-01	1.018137e+06
25	1.068308e+06	2.556779e-01	1.068308e+06
26	1.108979e+06	2.865090e-01	1.108979e+06
27	1.145157e+06	3.143482e-01	1.145157e+06
28	1.177339e+06	3.415187e-01	1.177339e+06
29	1.208667e+06	3.696566e-01	1.208668e+06
30	1.238895e+06	3.973658e-01	1.238896e+06
31	1.268976e+06	4.222777e-01	1.268976e+06
32	1.298027e+06	4.455849e-01	1.298028e+06
33	1.326263e+06	4.693065e-01	1.326263e+06
34	1.354182e+06	4.913609e-01	1.354183e+06
35	1.380390e+06	5.120524e-01	1.380391e+06
36	1.405762e+06	5.300750e-01	1.405762e+06
37	1.431571e+06	5.455230e-01	1.431571e+06
38	1.457112e+06	5.600092e-01	1.457112e+06
39	1.480836e+06	5.739440e-01	1.480836e+06
40	1.504155e+06	5.871727e-01	1.504156e+06
41	1.527576e+06	6.021122e-01	1.527576e+06
42	1.550081e+06	6.183607e-01	1.550081e+06
43	1.572670e+06	6.337449e-01	1.572671e+06
44	1.595377e+06	6.491270e-01	1.595377e+06
45	1.617548e+06	6.623372e-01	1.617549e+06
46	1.639500e+06	6.756198e-01	1.639501e+06
47	1.662775e+06	6.900269e-01	1.662776e+06
48	1.684129e+06	7.051283e-01	1.684129e+06
49	1.705284e+06	7.183693e-01	1.705284e+06
50	1.726537e+06	7.315781e-01	1.726538e+06
51	1.747197e+06	7.453436e-01	1.747197e+06
52	1.767954e+06	7.587323e-01	1.767954e+06
53	1.788742e+06	7.714608e-01	1.788743e+06
54	1.809341e+06	7.842361e-01	1.809341e+06
55	1.829555e+06	7.968417e-01	1.829556e+06
56	1.849389e+06	8.092785e-01	1.849390e+06
57	1.869385e+06	8.224016e-01	1.869386e+06
58	1.888957e+06	8.377832e-01	1.888957e+06
59	1.908378e+06	8.551413e-01	1.908378e+06
60	1.928514e+06	8.742096e-01	1.928515e+06
61	1.947871e+06	8.964774e-01	1.947872e+06
62	1.966944e+06	9.257404e-01	1.966945e+06
63	1.985833e+06	9.690682e-01	1.985834e+06
64	2.004672e+06	1.033524e+00	2.004673e+06
65	2.023691e+06	1.083515e+00	2.023692e+06
66	2.043592e+06	1.114904e+00	2.043593e+06
67	2.066779e+06	1.138364e+00	2.066780e+06
68	2.087566e+06	1.163844e+00	2.087567e+06
69	2.109642e+06	1.191500e+00	2.109643e+06
70	2.130511e+06	1.215288e+00	2.130512e+06
71	2.150617e+06	1.234825e+00	2.150618e+06
72	2.169539e+06	1.251139e+00	2.169540e+06
73	2.187948e+06	1.255076e+00	2.187950e+06
74	2.207115e+06	1.255103e+00	2.207116e+06
75	2.224746e+06	1.255103e+00	2.224747e+06
76	2.242245e+06	1.255103e+00	2.242246e+06
77	2.259648e+06	1.255103e+00	2.259649e+06
78	2.276957e+06	1.255103e+00	2.276959e+06
79	2.294174e+06	1.255103e+00	2.294176e+06
80	2.311301e+06	1.255103e+00	2.311302e+06
81	2.328338e+06	1.255103e+00	2.328339e+06
82	2.345287e+06	1.255103e+00	2.345288e+06
83	2.362150e+06	1.255103e+00	2.362152e+06
84	2.378929e+06	1.255103e+00	2.378930e+06
85	2.395624e+06	1.255103e+00	2.395625e+06
86	2.412236e+06	1.255103e+00	2.412238e+06
87	2.428768e+06	1.255103e+00	2.428769e+06
88	2.445220e+06	1.255103e+00	2.445222e+06
89	2.461594e+06	1.255103e+00	2.461596e+06
90	2.477891e+06	1.255103e+00	2.477892e+06
91	2.494112e+06	1.255103e+00	2.494113e+06
92	2.510257e+06	1.255103e+00	2.510259e+06
93	2.526329e+06	1.255103e+00	2.526331e+06
94	2.542328e+06	1.255103e+00	2.542330e+06
95	2.558256e+06	1.255103e+00	2.558257e+06
96	2.574113e+06	1.255103e+00	2.574114e+06
97	2.589900e+06	1.255103e+00	2.589901e+06
98	2.605618e+06	1.255103e+00	2.605619e+06
99	2.621268e+06	1.255103e+00	2.621270e+06
100	2.636852e+06	1.255103e+00	2.636853e+06
101	2.652370e+06	1.255103e+00	2.652371e+06
102	2.667822e+06	1.255103e+00	2.667823e+06
103	2.683210e+06	1.255103e+00	2.683212e+06
104	2.698535e+06	1.255103e+00	2.698537e+06
105	2.713798e+06	1.255103e+00	2.713799e+06
106	2.728998e+06	1.255103e+00	2.729000e+06
107	2.744138e+06	1.255103e+00	2.744139e+06
108	2.759217e+06	1.255103e+00	2.759218e+06
109	2.774237e+06	1.255103e+00	2.774238e+06
110	2.789198e+06	1.255103e+00	2.789200e+06
111	2.804101e+06	1.255103e+00	2.804103e+06
112	2.818947e+06	1.255103e+00	2.818948e+06
113	2.833736e+06	1.255103e+00	2.833738e+06
114	2.848470e+06	1.255103e+00	2.848471e+06
115	2.863148e+06	1.255103e+00	2.863149e+06
116	2.877771e+06	1.255103e+00	2.877772e+06
117	2.892340e+06	1.255103e+00	2.892341e+06
118	2.906856e+06	1.255103e+00	2.906857e+06
119	2.921319e+06	1.255103e+00	2.921320e+06
120	2.935730e+06	1.255103e+00	2.935731e+06
121	2.950089e+06	1.255103e+00	2.950090e+06
122	2.964397e+06	1.255103e+00	2.964399e+06
