Step	E_el	E_frac	E_tot
0	2.351913e+02	3.148657e-01	2.355061e+02
1	2.345485e+02	7.656013e-01	2.353141e+02
2	2.345303e+02	1.026281e+00	2.355566e+02
3	2.344309e+02	1.212194e+00	2.356431e+02
4	2.343207e+02	1.363027e+00	2.356837e+02
5	2.342135e+02	1.492880e+00	2.357063e+02
6	2.341122e+02	1.607394e+00	2.357196e+02
7	2.340164e+02	1.709717e+00	2.357261e+02
8	2.339234e+02	1.802530e+00	2.357260e+02
9	2.338308e+02	1.888839e+00	2.357197e+02
10	2.337391e+02	1.969530e+00	2.357087e+02
11	2.336449e+02	2.046796e+00	2.356917e+02
12	2.335475e+02	2.122302e+00	2.356698e+02
13	2.334512e+02	2.193761e+00	2.356449e+02
14	2.333584e+02	2.259870e+00	2.356182e+02
15	2.332691e+02	2.320657e+00	2.355898e+02
16	2.331825e+02	2.377128e+00	2.355596e+02
17	2.331001e+02	2.429309e+00	2.355294e+02
18	2.330219e+02	2.477322e+00	2.354993e+02
19	2.329483e+02	2.521290e+00	2.354695e+02
20	2.328782e+02	2.561620e+00	2.354398e+02
21	2.328116e+02	2.598842e+00	2.354105e+02
22	2.327475e+02	2.633317e+00	2.353808e+02
23	2.326867e+02	2.665117e+00	2.353518e+02
24	2.326280e+02	2.694950e+00	2.353229e+02
25	2.325709e+02	2.723181e+00	2.352941e+02
26	2.325153e+02	2.749916e+00	2.352653e+02
27	2.324614e+02	2.775309e+00	2.352367e+02
28	2.324085e+02	2.799590e+00	2.352081e+02
29	2.323563e+02	2.823049e+00	2.351794e+02
30	2.323053e+02	2.845646e+00	2.351509e+02
31	2.322549e+02	2.867614e+00	2.351225e+02
32	2.322048e+02	2.889078e+00	2.350939e+02
33	2.321549e+02	2.910380e+00	2.350653e+02
34	2.321045e+02	2.931906e+00	2.350364e+02
35	2.320537e+02	2.953763e+00	2.350075e+02
36	2.320035e+02	2.975612e+00	2.349792e+02
37	2.319534e+02	2.997437e+00	2.349509e+02
38	2.319037e+02	3.019061e+00	2.349228e+02
39	2.318551e+02	3.040181e+00	2.348952e+02
40	2.318069e+02	3.060887e+00	2.348678e+02
41	2.317593e+02	3.081133e+00	2.348404e+02
42	2.317124e+02	3.100825e+00	2.348132e+02
43	2.316665e+02	3.119790e+00	2.347863e+02
44	2.316214e+02	3.138148e+00	2.347595e+02
45	2.315766e+02	3.156084e+00	2.347326e+02
46	2.315327e+02	3.173436e+00	2.347062e+02
47	2.314894e+02	3.190310e+00	2.346797e+02
48	2.314469e+02	3.206586e+00	2.346535e+02
49	2.314051e+02	3.222324e+00	2.346274e+02
50	2.313639e+02	3.237553e+00	2.346014e+02
51	2.313235e+02	3.252255e+00	2.345757e+02
52	2.312834e+02	3.266538e+00	2.345499e+02
53	2.312435e+02	3.280556e+00	2.345240e+02
54	2.312041e+02	3.294281e+00	2.344984e+02
55	2.311652e+02	3.307711e+00	2.344730e+02
56	2.311268e+02	3.320842e+00	2.344477e+02
57	2.310888e+02	3.333713e+00	2.344225e+02
58	2.310506e+02	3.346550e+00	2.343972e+02
59	2.310128e+02	3.359249e+00	2.343720e+02
60	2.309755e+02	3.371669e+00	2.343471e+02
61	2.309389e+02	3.383669e+00	2.343226e+02
62	2.309030e+02	3.395213e+00	2.342982e+02
63	2.308671e+02	3.406617e+00	2.342737e+02
64	2.308315e+02	3.417841e+00	2.342493e+02
65	2.307964e+02	3.428790e+00	2.342252e+02
66	2.307615e+02	3.439598e+00	2.342011e+02
67	2.307270e+02	3.450166e+00	2.341772e+02
68	2.306931e+02	3.460456e+00	2.341535e+02
69	2.306593e+02	3.470602e+00	2.341299e+02
70	2.306256e+02	3.480732e+00	2.341063e+02
71	2.305921e+02	3.490741e+00	2.340828e+02
72	2.305587e+02	3.500721e+00	2.340594e+02
73	2.305255e+02	3.510639e+00	2.340361e+02
74	2.304927e+02	3.520383e+00	2.340131e+02
75	2.304604e+02	3.529915e+00	2.339903e+02
76	2.304282e+02	3.539339e+00	2.339676e+02
77	2.303960e+02	3.548790e+00	2.339448e+02
78	2.303641e+02	3.558154e+00	2.339222e+02
79	2.303323e+02	3.567430e+00	2.338998e+02
80	2.303008e+02	3.576597e+00	2.338774e+02
81	2.302698e+02	3.585565e+00	2.338553e+02
82	2.302390e+02	3.594343e+00	2.338333e+02
83	2.302084e+02	3.603004e+00	2.338114e+02
84	2.301777e+02	3.611757e+00	2.337894e+02
85	2.301471e+02	3.620478e+00	2.337676e+02
86	2.301169e+02	3.629062e+00	2.337459e+02
87	2.300867e+02	3.637582e+00	2.337243e+02
88	2.300569e+02	3.645990e+00	2.337029e+02
89	2.300273e+02	3.654291e+00	2.336815e+02
90	2.299980e+02	3.662441e+00	2.336604e+02
91	2.299687e+02	3.670565e+00	2.336393e+02
92	2.299392e+02	3.678819e+00	2.336181e+02
93	2.299100e+02	3.687038e+00	2.335971e+02
94	2.298809e+02	3.695248e+00	2.335761e+02
95	2.298518e+02	3.703475e+00	2.335553e+02
96	2.298230e+02	3.711606e+00	2.335346e+02
97	2.297944e+02	3.719641e+00	2.335141e+02
98	2.297660e+02	3.727625e+00	2.334936e+02
99	2.297374e+02	3.735681e+00	2.334731e+02
