Step	E_el	E_frac	E_tot
0	4.833933e-07	2.289117e-15	4.833933e-07
1	1.933573e-06	5.698881e-14	1.933573e-06
2	4.350539e-06	2.885060e-13	4.350540e-06
3	7.734292e-06	9.118220e-13	7.734293e-06
4	1.208483e-05	2.226131e-12	1.208483e-05
5	1.740216e-05	4.616112e-12	1.740216e-05
6	2.368627e-05	8.551935e-12	2.368628e-05
7	3.093717e-05	1.458926e-11	3.093719e-05
8	3.915486e-05	2.336924e-11	3.915489e-05
9	4.833934e-05	3.561852e-11	4.833938e-05
10	5.849061e-05	5.214927e-11	5.849066e-05
11	6.960867e-05	7.385914e-11	6.960874e-05
12	8.169351e-05	1.017313e-10	8.169362e-05
13	9.474515e-05	1.368345e-10	9.474529e-05
14	1.087636e-04	1.803228e-10	1.087638e-04
15	1.237488e-04	2.334361e-10	1.237490e-04
16	1.397008e-04	2.974996e-10	1.397011e-04
17	1.566196e-04	3.739242e-10	1.566200e-04
18	1.745052e-04	4.642062e-10	1.745057e-04
19	1.933576e-04	5.699276e-10	1.933582e-04
20	2.131768e-04	6.927559e-10	2.131775e-04
21	2.339628e-04	8.344442e-10	2.339637e-04
22	2.557156e-04	9.968312e-10	2.557166e-04
23	2.784352e-04	1.181841e-09	2.784364e-04
24	3.021216e-04	1.391484e-09	3.021230e-04
25	3.267748e-04	1.627855e-09	3.267765e-04
26	3.523948e-04	1.893136e-09	3.523967e-04
27	3.789817e-04	2.189594e-09	3.789838e-04
28	4.065353e-04	2.519580e-09	4.065378e-04
29	4.350557e-04	2.885534e-09	4.350586e-04
30	4.645430e-04	3.289978e-09	4.645463e-04
31	4.949970e-04	3.735523e-09	4.950008e-04
32	5.264179e-04	4.224864e-09	5.264221e-04
33	5.588056e-04	4.760782e-09	5.588104e-04
