Step	E_el	E_frac	E_tot
0	0.000000e+00	2.278197e-23	2.278197e-23
1	1.598549e-08	1.339162e-09	1.732465e-08
2	6.393637e-08	1.348171e-09	6.528454e-08
3	1.438358e-07	1.372065e-09	1.452079e-07
4	2.556552e-07	1.424001e-09	2.570792e-07
5	3.993540e-07	1.522577e-09	4.008766e-07
6	5.748789e-07	1.692679e-09	5.765716e-07
7	7.821605e-07	1.968037e-09	7.841285e-07
8	1.021121e-06	2.383888e-09	1.023505e-06
9	1.291672e-06	2.980196e-09	1.294653e-06
10	1.593714e-06	3.803240e-09	1.597517e-06
11	1.927131e-06	4.905357e-09	1.932036e-06
12	2.291799e-06	6.344509e-09	2.298144e-06
13	2.687580e-06	8.184339e-09	2.695764e-06
14	3.114319e-06	1.049918e-08	3.124818e-06
15	3.571856e-06	1.336133e-08	3.585217e-06
16	4.060014e-06	1.685310e-08	4.076867e-06
17	4.578596e-06	2.107133e-08	4.599667e-06
18	5.127390e-06	2.611743e-08	5.153507e-06
19	5.706166e-06	3.210499e-08	5.738271e-06
20	6.314677e-06	3.915558e-08	6.353832e-06
21	6.952658e-06	4.739995e-08	7.000058e-06
22	7.619841e-06	5.696689e-08	7.676807e-06
23	8.315931e-06	6.800087e-08	8.383932e-06
24	9.040638e-06	8.063559e-08	9.121274e-06
25	9.793626e-06	9.504314e-08	9.888669e-06
26	1.057456e-05	1.113795e-07	1.068594e-05
27	1.138311e-05	1.298066e-07	1.151291e-05
28	1.221885e-05	1.505365e-07	1.236938e-05
29	1.308137e-05	1.737802e-07	1.325515e-05
30	1.397020e-05	1.997881e-07	1.416998e-05
31	1.488480e-05	2.288522e-07	1.511365e-05
32	1.582455e-05	2.613192e-07	1.608587e-05
33	1.678872e-05	2.976143e-07	1.708633e-05
34	1.777639e-05	3.382802e-07	1.811467e-05
35	1.878636e-05	3.840439e-07	1.917040e-05
36	1.981698e-05	4.359034e-07	2.025288e-05
37	2.086592e-05	4.952196e-07	2.136114e-05
38	2.192993e-05	5.636974e-07	2.249363e-05
39	2.300496e-05	6.430012e-07	2.364796e-05
40	2.408714e-05	7.338888e-07	2.482103e-05
41	2.517465e-05	8.360889e-07	2.601074e-05
42	2.626800e-05	9.492670e-07	2.721727e-05
43	2.736614e-05	1.073816e-06	2.843996e-05
44	2.846607e-05	1.210739e-06	2.967681e-05
45	2.956447e-05	1.361112e-06	3.092559e-05
46	3.065771e-05	1.526111e-06	3.218382e-05
47	3.174157e-05	1.707222e-06	3.344879e-05
48	3.281150e-05	1.905939e-06	3.471744e-05
49	3.386284e-05	2.123634e-06	3.598648e-05
50	3.488989e-05	2.362366e-06	3.725226e-05
51	3.588650e-05	2.624295e-06	3.851079e-05
52	3.684633e-05	2.911521e-06	3.975785e-05
53	3.776309e-05	3.226088e-06	4.098917e-05
54	3.862988e-05	3.570625e-06	4.220050e-05
55	3.943974e-05	3.947590e-06	4.338733e-05
56	4.018472e-05	4.359576e-06	4.454429e-05
57	4.085616e-05	4.809459e-06	4.566562e-05
58	4.144627e-05	5.299266e-06	4.674553e-05
59	4.194530e-05	5.832838e-06	4.777814e-05
60	4.234905e-05	6.411215e-06	4.876027e-05
61	4.265425e-05	7.034291e-06	4.968854e-05
62	4.285243e-05	7.704944e-06	5.055737e-05
63	4.293544e-05	8.424699e-06	5.136014e-05
64	4.289754e-05	9.195121e-06	5.209266e-05
65	4.272716e-05	1.002022e-05	5.274738e-05
66	4.242853e-05	1.089520e-05	5.332374e-05
67	4.200688e-05	1.181934e-05	5.382622e-05
68	4.145622e-05	1.279064e-05	5.424685e-05
69	4.075925e-05	1.381436e-05	5.457361e-05
70	3.991766e-05	1.488644e-05	5.480410e-05
71	3.892100e-05	1.601026e-05	5.493125e-05
72	3.777672e-05	1.718462e-05	5.496135e-05
73	3.649385e-05	1.840397e-05	5.489781e-05
74	3.506189e-05	1.966970e-05	5.473159e-05
75	3.349466e-05	2.097160e-05	5.446626e-05
76	3.178296e-05	2.231144e-05	5.409440e-05
77	2.988917e-05	2.370384e-05	5.359302e-05
78	2.781819e-05	2.513323e-05	5.295142e-05
79	2.554593e-05	2.660948e-05	5.215540e-05
80	2.304610e-05	2.812988e-05	5.117598e-05
81	2.028087e-05	2.969775e-05	4.997862e-05
82	1.719002e-05	3.131768e-05	4.850769e-05
83	1.367647e-05	3.299924e-05	4.667571e-05
84	9.593937e-06	3.473656e-05	4.433050e-05
85	5.157953e-06	3.629929e-05	4.145724e-05
86	1.805641e-06	3.718508e-05	3.899072e-05
87	4.709105e-07	3.752061e-05	3.799152e-05
88	2.141765e-07	3.761109e-05	3.782527e-05
89	1.204789e-07	3.764723e-05	3.776771e-05
90	6.431858e-08	3.766757e-05	3.773189e-05
91	4.993681e-08	3.767414e-05	3.772407e-05
92	4.563276e-08	3.767704e-05	3.772267e-05
93	4.348939e-08	3.767887e-05	3.772236e-05
94	4.322985e-08	3.767980e-05	3.772303e-05
95	4.364354e-08	3.768032e-05	3.772396e-05
96	4.421053e-08	3.768073e-05	3.772494e-05
97	4.481021e-08	3.768111e-05	3.772592e-05
98	4.541429e-08	3.768150e-05	3.772691e-05
99	4.602655e-08	3.768187e-05	3.772790e-05
100	4.666098e-08	3.768223e-05	3.772889e-05
101	4.730352e-08	3.768259e-05	3.772990e-05
102	4.795196e-08	3.768295e-05	3.773090e-05
103	4.859992e-08	3.768330e-05	3.773190e-05
104	4.926720e-08	3.768364e-05	3.773290e-05
105	4.995622e-08	3.768396e-05	3.773392e-05
106	5.065299e-08	3.768429e-05	3.773494e-05
107	5.135758e-08	3.768461e-05	3.773597e-05
108	5.206581e-08	3.768493e-05	3.773700e-05
109	5.277905e-08	3.768526e-05	3.773804e-05
110	5.349968e-08	3.768558e-05	3.773908e-05
111	5.422868e-08	3.768590e-05	3.774013e-05
112	5.496454e-08	3.768622e-05	3.774118e-05
113	5.570722e-08	3.768653e-05	3.774224e-05
114	5.645982e-08	3.768684e-05	3.774330e-05
115	5.721913e-08	3.768715e-05	3.774437e-05
116	5.798203e-08	3.768746e-05	3.774544e-05
117	5.875127e-08	3.768777e-05	3.774653e-05
118	5.952364e-08	3.768809e-05	3.774761e-05
