Step	E_el	E_frac	E_tot
0	0.000000e+00	2.278197e-23	2.278197e-23
1	4.917522e-11	7.263784e-18	4.917523e-11
2	1.967008e-10	1.163095e-16	1.967009e-10
3	4.425770e-10	5.909353e-16	4.425776e-10
4	7.868046e-10	1.880045e-15	7.868064e-10
5	1.229385e-09	4.634286e-15	1.229390e-09
6	1.770320e-09	9.725797e-15	1.770330e-09
7	2.409612e-09	1.826264e-14	2.409630e-09
8	3.147264e-09	3.159277e-14	3.147296e-09
9	3.983281e-09	5.129871e-14	3.983332e-09
10	4.917666e-09	7.918767e-14	4.917745e-09
11	5.950424e-09	1.172821e-13	5.950542e-09
12	7.081562e-09	1.678126e-13	7.081730e-09
13	8.311085e-09	2.332144e-13	8.311318e-09
14	9.638999e-09	3.161260e-13	9.639316e-09
15	1.106531e-08	4.193895e-13	1.106573e-08
16	1.259003e-08	5.460513e-13	1.259058e-08
17	1.421317e-08	6.993638e-13	1.421387e-08
18	1.593473e-08	8.827862e-13	1.593562e-08
19	1.775473e-08	1.099986e-12	1.775583e-08
20	1.967317e-08	1.354841e-12	1.967453e-08
21	2.169007e-08	1.651439e-12	2.169172e-08
22	2.380543e-08	1.994077e-12	2.380742e-08
23	2.601927e-08	2.387267e-12	2.602166e-08
24	2.833160e-08	2.835731e-12	2.833444e-08
25	3.074244e-08	3.344408e-12	3.074579e-08
26	3.325180e-08	3.918447e-12	3.325572e-08
27	3.585968e-08	4.563214e-12	3.586425e-08
28	3.856612e-08	5.284291e-12	3.857140e-08
29	4.137112e-08	6.087474e-12	4.137721e-08
30	4.427470e-08	6.978777e-12	4.428167e-08
31	4.727687e-08	7.964432e-12	4.728483e-08
32	5.037766e-08	9.050888e-12	5.038671e-08
33	5.357707e-08	1.024481e-11	5.358732e-08
34	5.687514e-08	1.155309e-11	5.688669e-08
35	6.027188e-08	1.298284e-11	6.028486e-08
36	6.376730e-08	1.454138e-11	6.378184e-08
37	6.736143e-08	1.623627e-11	6.737767e-08
38	7.105429e-08	1.807529e-11	7.107237e-08
39	7.484591e-08	2.006642e-11	7.486597e-08
40	7.873629e-08	2.221789e-11	7.875851e-08
41	8.272548e-08	2.453816e-11	8.275002e-08
42	8.681348e-08	2.703589e-11	8.684052e-08
43	9.100033e-08	2.971999e-11	9.103005e-08
44	9.528604e-08	3.259959e-11	9.531864e-08
45	9.967065e-08	3.568406e-11	9.970633e-08
46	1.041542e-07	3.898298e-11	1.041932e-07
47	1.087366e-07	4.250617e-11	1.087792e-07
48	1.134181e-07	4.626370e-11	1.134644e-07
49	1.181985e-07	5.026586e-11	1.182488e-07
50	1.230780e-07	5.452317e-11	1.231325e-07
51	1.280565e-07	5.904639e-11	1.281156e-07
52	1.331342e-07	6.384652e-11	1.331980e-07
53	1.383109e-07	6.893481e-11	1.383798e-07
54	1.435868e-07	7.432273e-11	1.436611e-07
55	1.489619e-07	8.002201e-11	1.490419e-07
56	1.544361e-07	8.604460e-11	1.545222e-07
57	1.600097e-07	9.240272e-11	1.601021e-07
58	1.656825e-07	9.910882e-11	1.657816e-07
59	1.714546e-07	1.061756e-10	1.715608e-07
60	1.773261e-07	1.136160e-10	1.774397e-07
61	1.832969e-07	1.214433e-10	1.834184e-07
62	1.893672e-07	1.296708e-10	1.894969e-07
63	1.955369e-07	1.383124e-10	1.956752e-07
64	2.018061e-07	1.473819e-10	2.019535e-07
65	2.081749e-07	1.568935e-10	2.083318e-07
66	2.146432e-07	1.668619e-10	2.148101e-07
67	2.212111e-07	1.773016e-10	2.213884e-07
68	2.278787e-07	1.882277e-10	2.280670e-07
69	2.346460e-07	1.996555e-10	2.348457e-07
70	2.415130e-07	2.116005e-10	2.417246e-07
71	2.484798e-07	2.240784e-10	2.487039e-07
72	2.555463e-07	2.371178e-10	2.557835e-07
73	2.627129e-07	2.507111e-10	2.629636e-07
74	2.699793e-07	2.648863e-10	2.702442e-07
75	2.773456e-07	2.796604e-10	2.776253e-07
76	2.848119e-07	2.950505e-10	2.851070e-07
77	2.923783e-07	3.110743e-10	2.926894e-07
78	3.000446e-07	3.277750e-10	3.003724e-07
79	3.078115e-07	3.451212e-10	3.081566e-07
80	3.156783e-07	3.631545e-10	3.160414e-07
81	3.236453e-07	3.818940e-10	3.240272e-07
82	3.317126e-07	4.013587e-10	3.321140e-07
83	3.398803e-07	4.215676e-10	3.403018e-07
84	3.481483e-07	4.425404e-10	3.485909e-07
85	3.565168e-07	4.642966e-10	3.569811e-07
86	3.649858e-07	4.868565e-10	3.654726e-07
87	3.735553e-07	5.102403e-10	3.740655e-07
88	3.822254e-07	5.344689e-10	3.827599e-07
89	3.909962e-07	5.595630e-10	3.915558e-07
90	3.998677e-07	5.855442e-10	4.004533e-07
91	4.088400e-07	6.124339e-10	4.094524e-07
92	4.179131e-07	6.402541e-10	4.185534e-07
93	4.270871e-07	6.690272e-10	4.277561e-07
94	4.363621e-07	6.987755e-10	4.370608e-07
95	4.457380e-07	7.295222e-10	4.464675e-07
96	4.552150e-07	7.612903e-10	4.559763e-07
97	4.647932e-07	7.941036e-10	4.655873e-07
98	4.744725e-07	8.279858e-10	4.753005e-07
99	4.842531e-07	8.629612e-10	4.851161e-07
100	4.941351e-07	8.990544e-10	4.950341e-07
101	5.041184e-07	9.362904e-10	5.050547e-07
102	5.142031e-07	9.746944e-10	5.151778e-07
103	5.243894e-07	1.014292e-09	5.254037e-07
104	5.346773e-07	1.055109e-09	5.357324e-07
105	5.450668e-07	1.097173e-09	5.461640e-07
106	5.555580e-07	1.140509e-09	5.566985e-07
107	5.661511e-07	1.185145e-09	5.673362e-07
108	5.768460e-07	1.231108e-09	5.780771e-07
109	5.876428e-07	1.278426e-09	5.889212e-07
110	5.985416e-07	1.327127e-09	5.998688e-07
111	6.095424e-07	1.377281e-09	6.109196e-07
112	6.206459e-07	1.428838e-09	6.220747e-07
113	6.318512e-07	1.481864e-09	6.333331e-07
114	6.431588e-07	1.536391e-09	6.446952e-07
115	6.545689e-07	1.592447e-09	6.561613e-07
116	6.660814e-07	1.650064e-09	6.677314e-07
117	6.776964e-07	1.709273e-09	6.794057e-07
118	6.894141e-07	1.770106e-09	6.911842e-07
119	7.012344e-07	1.832593e-09	7.030670e-07
120	7.131576e-07	1.896767e-09	7.150544e-07
121	7.251836e-07	1.962662e-09	7.271463e-07
122	7.373126e-07	2.030309e-09	7.393429e-07
123	7.495443e-07	2.099792e-09	7.516441e-07
124	7.618802e-07	2.171051e-09	7.640513e-07
125	7.743186e-07	2.244163e-09	7.765628e-07
126	7.868603e-07	2.319164e-09	7.891795e-07
127	7.995054e-07	2.396090e-09	8.019015e-07
128	8.122533e-07	2.475038e-09	8.147283e-07
129	8.251068e-07	2.555929e-09	8.276627e-07
130	8.380627e-07	2.638851e-09	8.407015e-07
131	8.511216e-07	2.723927e-09	8.538456e-07
132	8.642863e-07	2.811037e-09	8.670974e-07
133	8.775538e-07	2.900290e-09	8.804541e-07
134	8.909253e-07	2.991728e-09	8.939170e-07
135	9.044009e-07	3.085392e-09	9.074863e-07
136	9.179808e-07	3.181321e-09	9.211621e-07
137	9.316650e-07	3.279556e-09	9.349446e-07
138	9.454537e-07	3.380137e-09	9.488338e-07
139	9.593469e-07	3.483105e-09	9.628300e-07
140	9.733448e-07	3.588503e-09	9.769333e-07
141	9.874474e-07	3.696373e-09	9.911438e-07
142	1.001655e-06	3.806758e-09	1.005462e-06
143	1.015967e-06	3.919702e-09	1.019887e-06
144	1.030385e-06	4.035248e-09	1.034420e-06
145	1.044908e-06	4.153441e-09	1.049061e-06
146	1.059536e-06	4.274327e-09	1.063810e-06
147	1.074269e-06	4.397952e-09	1.078667e-06
148	1.089095e-06	4.527661e-09	1.093622e-06
149	1.104066e-06	4.657242e-09	1.108723e-06
150	1.119118e-06	4.789485e-09	1.123907e-06
151	1.134274e-06	4.924645e-09	1.139199e-06
152	1.149537e-06	5.062783e-09	1.154600e-06
153	1.164906e-06	5.203950e-09	1.170110e-06
154	1.180381e-06	5.348197e-09	1.185729e-06
155	1.195961e-06	5.495769e-09	1.201457e-06
156	1.211650e-06	5.646537e-09	1.217297e-06
157	1.227447e-06	5.800361e-09	1.233248e-06
158	1.243346e-06	5.957883e-09	1.249304e-06
159	1.259359e-06	6.118369e-09	1.265478e-06
160	1.275475e-06	6.282218e-09	1.281757e-06
161	1.291697e-06	6.449517e-09	1.298147e-06
162	1.308026e-06	6.620591e-09	1.314646e-06
163	1.324464e-06	6.795224e-09	1.331259e-06
164	1.341010e-06	6.973503e-09	1.347984e-06
165	1.357666e-06	7.155224e-09	1.364821e-06
166	1.374425e-06	7.340917e-09	1.381766e-06
167	1.391294e-06	7.530451e-09	1.398825e-06
168	1.408274e-06	7.723591e-09	1.415998e-06
169	1.425359e-06	7.920627e-09	1.433280e-06
170	1.442552e-06	8.121645e-09	1.450674e-06
171	1.459854e-06	8.326711e-09	1.468181e-06
172	1.477265e-06	8.535888e-09	1.485800e-06
173	1.494784e-06	8.749243e-09	1.503533e-06
174	1.512412e-06	8.966840e-09	1.521379e-06
175	1.530150e-06	9.188746e-09	1.539338e-06
176	1.547997e-06	9.415029e-09	1.557412e-06
177	1.565953e-06	9.645758e-09	1.575599e-06
178	1.584019e-06	9.881002e-09	1.593900e-06
179	1.602195e-06	1.012083e-08	1.612315e-06
180	1.620480e-06	1.036532e-08	1.630846e-06
181	1.638876e-06	1.061454e-08	1.649491e-06
182	1.657382e-06	1.086855e-08	1.668251e-06
183	1.675999e-06	1.112745e-08	1.687126e-06
184	1.694726e-06	1.139130e-08	1.706118e-06
185	1.713564e-06	1.166018e-08	1.725225e-06
186	1.732514e-06	1.193417e-08	1.744448e-06
187	1.751574e-06	1.221335e-08	1.763787e-06
188	1.770746e-06	1.249779e-08	1.783243e-06
189	1.790025e-06	1.278792e-08	1.802813e-06
190	1.809424e-06	1.308351e-08	1.822508e-06
191	1.828934e-06	1.338487e-08	1.842319e-06
192	1.848551e-06	1.369271e-08	1.862244e-06
193	1.868296e-06	1.400499e-08	1.882301e-06
194	1.888141e-06	1.432287e-08	1.902464e-06
195	1.908098e-06	1.464660e-08	1.922745e-06
196	1.928151e-06	1.498016e-08	1.943131e-06
197	1.948367e-06	1.531651e-08	1.963683e-06
198	1.968666e-06	1.565853e-08	1.984324e-06
199	1.989076e-06	1.600673e-08	2.005083e-06
200	2.009597e-06	1.636188e-08	2.025959e-06
201	2.030240e-06	1.672293e-08	2.046963e-06
202	2.050992e-06	1.709042e-08	2.068083e-06
203	2.071859e-06	1.746453e-08	2.089323e-06
204	2.092840e-06	1.784536e-08	2.110685e-06
205	2.113935e-06	1.823302e-08	2.132168e-06
206	2.135146e-06	1.862760e-08	2.153774e-06
207	2.156472e-06	1.902923e-08	2.175501e-06
208	2.177914e-06	1.943799e-08	2.197352e-06
209	2.199389e-06	1.987346e-08	2.219262e-06
210	2.221216e-06	2.030086e-08	2.241517e-06
211	2.243018e-06	2.073400e-08	2.263752e-06
212	2.264936e-06	2.117486e-08	2.286111e-06
213	2.286978e-06	2.162195e-08	2.308600e-06
214	2.309122e-06	2.207662e-08	2.331198e-06
215	2.331377e-06	2.254008e-08	2.353917e-06
216	2.353757e-06	2.301177e-08	2.376769e-06
217	2.376257e-06	2.349175e-08	2.399749e-06
218	2.398870e-06	2.398102e-08	2.422851e-06
219	2.421620e-06	2.447715e-08	2.446098e-06
220	2.444472e-06	2.498160e-08	2.469454e-06
221	2.467442e-06	2.549473e-08	2.492936e-06
222	2.490530e-06	2.601673e-08	2.516547e-06
223	2.513737e-06	2.654772e-08	2.540285e-06
224	2.537065e-06	2.708785e-08	2.564153e-06
225	2.560512e-06	2.763727e-08	2.588149e-06
226	2.584080e-06	2.819611e-08	2.612276e-06
227	2.607768e-06	2.876453e-08	2.636533e-06
228	2.631577e-06	2.934267e-08	2.660920e-06
229	2.655508e-06	2.993069e-08	2.685439e-06
230	2.679560e-06	3.052874e-08	2.710089e-06
231	2.703734e-06	3.113698e-08	2.734871e-06
232	2.728030e-06	3.175556e-08	2.759786e-06
233	2.752449e-06	3.238467e-08	2.784833e-06
234	2.776990e-06	3.302445e-08	2.810015e-06
235	2.801655e-06	3.367507e-08	2.835330e-06
236	2.826443e-06	3.433672e-08	2.860780e-06
237	2.851355e-06	3.500956e-08	2.886365e-06
238	2.876391e-06	3.569378e-08	2.912085e-06
239	2.901552e-06	3.638955e-08	2.937942e-06
240	2.926838e-06	3.709707e-08	2.963935e-06
241	2.952250e-06	3.781651e-08	2.990066e-06
242	2.977786e-06	3.854808e-08	3.016335e-06
243	3.003450e-06	3.929197e-08	3.042741e-06
244	3.029239e-06	4.004838e-08	3.069287e-06
245	3.055155e-06	4.081750e-08	3.095973e-06
246	3.081199e-06	4.159956e-08	3.122799e-06
247	3.107370e-06	4.239476e-08	3.149765e-06
248	3.133594e-06	4.322209e-08	3.176817e-06
249	3.160163e-06	4.404892e-08	3.204212e-06
250	3.186740e-06	4.488623e-08	3.231626e-06
251	3.213409e-06	4.574241e-08	3.259151e-06
252	3.240269e-06	4.660862e-08	3.286878e-06
253	3.267224e-06	4.748833e-08	3.314712e-06
254	3.294209e-06	4.840866e-08	3.342617e-06
255	3.321596e-06	4.932450e-08	3.370920e-06
256	3.348966e-06	5.025096e-08	3.399217e-06
257	3.376447e-06	5.119195e-08	3.427639e-06
258	3.404058e-06	5.214852e-08	3.456206e-06
259	3.431801e-06	5.312112e-08	3.484922e-06
260	3.459668e-06	5.411184e-08	3.513780e-06
261	3.487696e-06	5.511791e-08	3.542814e-06
262	3.515844e-06	5.614055e-08	3.571984e-06
263	3.544125e-06	5.718034e-08	3.601305e-06
264	3.572532e-06	5.823951e-08	3.630771e-06
265	3.601076e-06	5.932131e-08	3.660398e-06
266	3.629819e-06	6.041654e-08	3.690236e-06
267	3.658656e-06	6.152891e-08	3.720185e-06
268	3.687609e-06	6.266117e-08	3.750271e-06
269	3.716744e-06	6.381160e-08	3.780556e-06
270	3.745980e-06	6.498382e-08	3.810963e-06
271	3.775367e-06	6.617818e-08	3.841546e-06
272	3.804935e-06	6.738926e-08	3.872325e-06
273	3.834600e-06	6.862212e-08	3.903222e-06
274	3.864429e-06	6.987416e-08	3.934303e-06
275	3.894385e-06	7.114704e-08	3.965532e-06
276	3.924469e-06	7.244389e-08	3.996913e-06
277	3.954734e-06	7.376131e-08	4.028495e-06
278	3.985122e-06	7.510082e-08	4.060223e-06
279	4.015639e-06	7.646528e-08	4.092105e-06
280	4.046331e-06	7.785432e-08	4.124185e-06
281	4.077172e-06	7.926800e-08	4.156440e-06
282	4.108173e-06	8.070353e-08	4.188876e-06
283	4.139285e-06	8.216569e-08	4.221450e-06
284	4.170562e-06	8.365680e-08	4.254218e-06
285	4.202031e-06	8.516958e-08	4.287201e-06
286	4.233599e-06	8.671045e-08	4.320310e-06
287	4.265319e-06	8.828085e-08	4.353599e-06
288	4.297268e-06	8.987487e-08	4.387142e-06
289	4.329294e-06	9.149822e-08	4.420792e-06
290	4.361502e-06	9.315141e-08	4.454654e-06
291	4.393881e-06	9.483104e-08	4.488712e-06
292	4.426372e-06	9.654222e-08	4.522915e-06
293	4.459051e-06	9.828546e-08	4.557336e-06
294	4.491906e-06	1.000570e-07	4.591963e-06
295	4.524600e-06	1.019601e-07	4.626560e-06
296	4.558249e-06	1.038305e-07	4.662079e-06
297	4.591696e-06	1.057136e-07	4.697409e-06
298	4.625196e-06	1.076256e-07	4.732821e-06
299	4.658866e-06	1.095720e-07	4.768438e-06
300	4.692696e-06	1.115529e-07	4.804248e-06
301	4.726700e-06	1.135712e-07	4.840271e-06
302	4.760863e-06	1.156270e-07	4.876490e-06
303	4.795213e-06	1.177216e-07	4.912935e-06
304	4.829727e-06	1.198554e-07	4.949582e-06
305	4.864383e-06	1.220369e-07	4.986420e-06
306	4.899323e-06	1.242519e-07	5.023574e-06
307	4.934331e-06	1.265112e-07	5.060842e-06
308	4.969555e-06	1.288126e-07	5.098368e-06
309	5.004952e-06	1.311590e-07	5.136111e-06
310	5.040548e-06	1.335474e-07	5.174095e-06
311	5.076266e-06	1.359873e-07	5.212253e-06
312	5.112238e-06	1.384712e-07	5.250709e-06
313	5.148358e-06	1.410027e-07	5.289361e-06
314	5.184529e-06	1.436134e-07	5.328142e-06
315	5.221197e-06	1.462670e-07	5.367464e-06
316	5.258019e-06	1.489628e-07	5.406982e-06
317	5.294834e-06	1.517334e-07	5.446567e-06
318	5.332085e-06	1.545454e-07	5.486630e-06
319	5.369407e-06	1.574092e-07	5.526816e-06
320	5.406902e-06	1.603305e-07	5.567232e-06
321	5.444567e-06	1.633177e-07	5.607885e-06
322	5.482444e-06	1.663814e-07	5.648825e-06
323	5.520639e-06	1.695068e-07	5.690146e-06
324	5.559002e-06	1.726980e-07	5.731700e-06
325	5.597578e-06	1.759595e-07	5.773538e-06
326	5.635977e-06	1.793896e-07	5.815366e-06
327	5.675665e-06	1.828448e-07	5.858510e-06
328	5.715051e-06	1.863584e-07	5.901409e-06
329	5.754649e-06	1.899410e-07	5.944590e-06
330	5.794432e-06	1.935968e-07	5.988029e-06
331	5.834351e-06	1.973408e-07	6.031691e-06
332	5.874510e-06	2.011795e-07	6.075689e-06
333	5.915050e-06	2.051049e-07	6.120154e-06
334	5.955707e-06	2.091302e-07	6.164837e-06
335	5.996654e-06	2.132580e-07	6.209912e-06
336	6.037889e-06	2.174900e-07	6.255379e-06
337	6.079405e-06	2.218256e-07	6.301230e-06
338	6.121136e-06	2.262732e-07	6.347409e-06
339	6.163035e-06	2.308594e-07	6.393894e-06
340	6.205443e-06	2.355678e-07	6.441011e-06
341	6.247746e-06	2.405009e-07	6.488247e-06
342	6.291240e-06	2.455282e-07	6.536768e-06
343	6.334667e-06	2.506766e-07	6.585344e-06
344	6.378305e-06	2.559689e-07	6.634274e-06
345	6.422174e-06	2.614247e-07	6.683598e-06
346	6.466497e-06	2.670553e-07	6.733552e-06
347	6.511128e-06	2.728695e-07	6.783997e-06
348	6.556165e-06	2.788701e-07	6.835035e-06
349	6.601478e-06	2.850779e-07	6.886556e-06
350	6.647250e-06	2.915031e-07	6.938754e-06
351	6.693398e-06	2.981755e-07	6.991574e-06
352	6.740037e-06	3.050947e-07	7.045132e-06
353	6.786776e-06	3.123738e-07	7.099150e-06
354	6.834944e-06	3.199003e-07	7.154844e-06
355	6.882916e-06	3.277538e-07	7.210670e-06
356	6.931844e-06	3.359286e-07	7.267773e-06
357	6.981038e-06	3.444755e-07	7.325513e-06
358	7.030915e-06	3.534080e-07	7.384323e-06
359	7.080769e-06	3.628785e-07	7.443648e-06
360	7.132104e-06	3.728997e-07	7.505004e-06
361	7.184446e-06	3.834385e-07	7.567884e-06
362	7.237337e-06	3.945658e-07	7.631902e-06
363	7.290534e-06	4.064299e-07	7.696964e-06
364	7.345091e-06	4.191247e-07	7.764216e-06
365	7.400779e-06	4.327453e-07	7.833524e-06
366	7.457376e-06	4.474721e-07	7.904849e-06
367	7.515161e-06	4.635289e-07	7.978690e-06
368	7.574026e-06	4.813429e-07	8.055369e-06
369	7.635902e-06	5.011898e-07	8.137092e-06
370	7.700260e-06	5.234138e-07	8.223674e-06
371	7.766334e-06	5.487437e-07	8.315077e-06
372	7.833829e-06	5.786131e-07	8.412442e-06
373	7.905698e-06	6.149612e-07	8.520659e-06
374	7.986460e-06	6.593794e-07	8.645839e-06
