Step	E_el	E_frac	E_tot
0	0.000000e+00	2.278197e-23	2.278197e-23
1	3.129932e-11	2.943843e-18	3.129932e-11
2	1.251972e-10	4.708698e-17	1.251973e-10
3	2.816939e-10	2.387945e-16	2.816941e-10
4	5.007896e-10	7.573880e-16	5.007903e-10
5	7.824848e-10	1.859298e-15	7.824867e-10
6	1.126780e-09	3.884173e-15	1.126784e-09
7	1.533677e-09	7.261457e-15	1.533685e-09
8	2.003177e-09	1.251551e-14	2.003189e-09
9	2.535280e-09	2.026804e-14	2.535301e-09
10	3.129990e-09	3.123764e-14	3.130021e-09
11	3.787307e-09	4.623739e-14	3.787353e-09
12	4.507234e-09	6.617150e-14	4.507300e-09
13	5.289774e-09	9.203205e-14	5.289866e-09
14	6.134929e-09	1.248965e-13	6.135054e-09
15	7.042703e-09	1.659258e-13	7.042869e-09
16	8.013098e-09	2.163638e-13	8.013314e-09
17	9.046118e-09	2.775364e-13	9.046395e-09
18	1.014177e-08	3.508521e-13	1.014212e-08
19	1.130005e-08	4.378019e-13	1.130049e-08
20	1.252097e-08	5.399600e-13	1.252151e-08
21	1.380452e-08	6.589839e-13	1.380518e-08
22	1.515073e-08	7.966149e-13	1.515153e-08
23	1.655958e-08	9.546790e-13	1.656054e-08
24	1.803110e-08	1.135086e-12	1.803223e-08
25	1.956527e-08	1.339833e-12	1.956661e-08
26	2.116211e-08	1.570998e-12	2.116368e-08
27	2.282162e-08	1.830750e-12	2.282345e-08
28	2.454381e-08	2.121339e-12	2.454593e-08
29	2.632868e-08	2.445104e-12	2.633112e-08
30	2.817624e-08	2.804469e-12	2.817905e-08
31	3.008651e-08	3.201945e-12	3.008971e-08
32	3.205947e-08	3.640131e-12	3.206311e-08
33	3.409515e-08	4.121709e-12	3.409927e-08
34	3.619355e-08	4.649454e-12	3.619820e-08
35	3.835468e-08	5.226222e-12	3.835990e-08
36	4.057854e-08	5.854962e-12	4.058439e-08
37	4.286514e-08	6.538707e-12	4.287168e-08
38	4.521450e-08	7.280581e-12	4.522178e-08
39	4.762662e-08	8.083794e-12	4.763470e-08
40	5.010150e-08	8.951645e-12	5.011046e-08
41	5.263917e-08	9.887523e-12	5.264906e-08
42	5.523962e-08	1.089490e-11	5.525052e-08
43	5.790287e-08	1.197736e-11	5.791485e-08
44	6.062893e-08	1.313853e-11	6.064207e-08
45	6.341781e-08	1.438218e-11	6.343219e-08
46	6.626951e-08	1.571213e-11	6.628522e-08
47	6.918406e-08	1.713232e-11	6.920119e-08
48	7.216145e-08	1.864676e-11	7.218009e-08
49	7.520170e-08	2.025955e-11	7.522196e-08
50	7.830483e-08	2.197490e-11	7.832680e-08
51	8.147084e-08	2.379709e-11	8.149463e-08
52	8.469974e-08	2.573051e-11	8.472547e-08
53	8.799155e-08	2.777963e-11	8.801933e-08
54	9.134629e-08	2.994901e-11	9.137624e-08
55	9.476395e-08	3.224333e-11	9.479619e-08
56	9.824456e-08	3.466732e-11	9.827923e-08
57	1.017881e-07	3.722583e-11	1.018254e-07
58	1.053947e-07	3.992381e-11	1.054346e-07
59	1.090642e-07	4.276628e-11	1.091070e-07
60	1.127967e-07	4.575838e-11	1.128425e-07
61	1.165923e-07	4.890532e-11	1.166412e-07
62	1.204508e-07	5.221243e-11	1.205031e-07
63	1.243725e-07	5.568513e-11	1.244281e-07
64	1.283571e-07	5.932891e-11	1.284165e-07
65	1.324049e-07	6.314939e-11	1.324680e-07
66	1.365157e-07	6.715227e-11	1.365828e-07
67	1.406896e-07	7.134335e-11	1.407610e-07
68	1.449267e-07	7.572853e-11	1.450024e-07
69	1.492269e-07	8.031381e-11	1.493072e-07
70	1.535902e-07	8.510528e-11	1.536753e-07
71	1.580167e-07	9.010914e-11	1.581068e-07
72	1.625064e-07	9.533168e-11	1.626018e-07
73	1.670593e-07	1.007793e-10	1.671601e-07
74	1.716755e-07	1.064585e-10	1.717819e-07
75	1.763548e-07	1.123758e-10	1.764672e-07
76	1.810975e-07	1.185381e-10	1.812160e-07
77	1.859034e-07	1.249519e-10	1.860283e-07
78	1.907725e-07	1.316244e-10	1.909042e-07
79	1.957051e-07	1.385624e-10	1.958436e-07
80	2.007009e-07	1.457731e-10	2.008467e-07
81	2.057601e-07	1.532637e-10	2.059133e-07
82	2.108826e-07	1.610415e-10	2.110437e-07
