Step	E_el	E_frac	E_tot
0	0.000000e+00	0.000000e+00	0.000000e+00
1	9.213192e-09	6.485712e-08	7.407032e-08
2	3.594935e-08	6.485712e-08	1.008065e-07
3	8.088605e-08	6.485712e-08	1.457432e-07
4	1.437974e-07	6.485712e-08	2.086545e-07
5	2.246835e-07	6.485712e-08	2.895406e-07
6	3.235442e-07	6.485712e-08	3.884013e-07
7	4.403796e-07	6.485712e-08	5.052367e-07
8	5.741143e-07	6.595073e-08	6.400651e-07
9	7.145287e-07	7.746532e-08	7.919940e-07
10	8.191460e-07	1.286120e-07	9.477579e-07
11	7.657757e-07	2.458978e-07	1.011674e-06
12	2.700408e-07	3.381716e-07	6.082125e-07
13	1.715223e-08	3.422161e-07	3.593683e-07
14	1.960074e-08	3.422442e-07	3.618449e-07
15	2.242169e-08	3.422723e-07	3.646940e-07
16	2.509238e-08	3.423941e-07	3.674864e-07
17	2.759033e-08	3.425798e-07	3.701701e-07
18	3.000200e-08	3.427887e-07	3.727907e-07
19	3.193088e-08	3.430873e-07	3.750182e-07
20	3.415692e-08	3.433255e-07	3.774824e-07
21	3.576562e-08	3.436699e-07	3.794355e-07
22	3.717706e-08	3.440178e-07	3.811949e-07
23	3.857531e-08	3.443489e-07	3.829242e-07
24	3.969926e-08	3.447018e-07	3.844011e-07
25	4.034789e-08	3.450895e-07	3.854374e-07
26	4.169425e-08	3.453462e-07	3.870405e-07
27	4.070450e-08	3.458798e-07	3.865843e-07
28	4.322313e-08	3.459466e-07	3.891697e-07
29	4.049349e-08	3.466195e-07	3.871130e-07
30	4.329758e-08	3.466241e-07	3.899217e-07
31	4.206860e-08	3.470689e-07	3.891375e-07
32	4.434446e-08	3.471207e-07	3.914652e-07
33	4.105592e-08	3.477334e-07	3.887893e-07
34	4.355982e-08	3.477357e-07	3.912955e-07
35	4.381771e-08	3.479608e-07	3.917785e-07
36	4.314059e-08	3.482559e-07	3.913965e-07
37	4.468900e-08	3.483375e-07	3.930265e-07
38	4.258222e-08	3.487361e-07	3.913183e-07
39	4.476945e-08	3.487445e-07	3.935139e-07
40	4.315307e-08	3.490693e-07	3.922224e-07
41	4.521682e-08	3.490808e-07	3.942976e-07
42	4.225728e-08	3.494831e-07	3.917404e-07
43	4.428100e-08	3.494843e-07	3.937653e-07
44	4.350472e-08	3.496896e-07	3.931944e-07
45	4.406478e-08	3.497944e-07	3.938592e-07
46	4.310536e-08	3.499985e-07	3.931038e-07
47	4.418085e-08	3.500561e-07	3.942370e-07
48	4.212399e-08	3.503192e-07	3.924432e-07
49	4.385051e-08	3.503233e-07	3.941738e-07
