Step	E_el	E_frac	E_tot
0	0.000000e+00	3.720535e-24	3.720535e-24
1	2.543645e-07	4.316152e-06	4.570516e-06
2	1.015862e-06	4.317353e-06	5.333215e-06
3	2.283639e-06	4.320122e-06	6.603762e-06
4	4.054697e-06	4.325805e-06	8.380501e-06
5	6.325188e-06	4.336211e-06	1.066140e-05
6	9.090148e-06	4.353688e-06	1.344384e-05
7	1.234347e-05	4.381123e-06	1.672459e-05
8	1.607786e-05	4.421968e-06	2.049983e-05
9	2.028484e-05	4.480263e-06	2.476510e-05
10	2.495466e-05	4.560653e-06	2.951532e-05
11	3.007627e-05	4.668459e-06	3.474473e-05
12	3.563721e-05	4.809685e-06	4.044690e-05
13	4.162354e-05	4.991136e-06	4.661468e-05
14	4.801969e-05	5.220441e-06	5.324014e-05
15	5.480833e-05	5.506223e-06	6.031456e-05
16	6.197012e-05	5.858193e-06	6.782831e-05
17	6.948343e-05	6.287380e-06	7.577081e-05
18	7.732398e-05	6.806391e-06	8.413037e-05
19	8.546429e-05	7.429722e-06	9.289401e-05
20	9.387294e-05	8.174328e-06	1.020473e-04
21	1.025135e-04	9.060348e-06	1.115738e-04
22	1.113430e-04	1.011215e-05	1.214551e-04
23	1.203092e-04	1.135998e-05	1.316692e-04
24	1.293470e-04	1.284267e-05	1.421897e-04
25	1.383714e-04	1.461207e-05	1.529835e-04
26	1.472649e-04	1.674051e-05	1.640054e-04
27	1.558516e-04	1.933649e-05	1.751881e-04
28	1.638460e-04	2.257179e-05	1.864178e-04
29	1.707575e-04	2.671669e-05	1.974742e-04
30	1.757334e-04	3.216519e-05	2.078986e-04
31	1.773132e-04	3.951755e-05	2.168307e-04
32	1.729841e-04	4.996030e-05	2.229444e-04
33	1.571293e-04	6.534739e-05	2.224767e-04
34	1.175045e-04	8.576231e-05	2.032668e-04
35	5.081759e-05	1.008082e-04	1.516258e-04
36	1.311474e-05	1.048777e-04	1.179925e-04
37	2.329086e-06	1.061214e-04	1.084505e-04
38	1.020650e-07	1.061955e-04	1.062976e-04
39	6.293389e-08	1.062000e-04	1.062630e-04
40	6.397708e-08	1.062015e-04	1.062655e-04
41	6.639301e-08	1.062025e-04	1.062689e-04
42	6.898760e-08	1.062035e-04	1.062725e-04
43	7.168134e-08	1.062044e-04	1.062761e-04
44	7.446651e-08	1.062052e-04	1.062797e-04
45	7.732297e-08	1.062060e-04	1.062833e-04
46	8.022837e-08	1.062069e-04	1.062871e-04
47	8.314675e-08	1.062077e-04	1.062909e-04
48	8.605887e-08	1.062087e-04	1.062948e-04
49	8.897346e-08	1.062097e-04	1.062987e-04
50	9.190936e-08	1.062108e-04	1.063027e-04
51	9.491798e-08	1.062117e-04	1.063067e-04
52	9.803174e-08	1.062127e-04	1.063107e-04
53	1.012224e-07	1.062136e-04	1.063148e-04
54	1.044374e-07	1.062145e-04	1.063190e-04
55	1.076363e-07	1.062155e-04	1.063232e-04
56	1.108573e-07	1.062165e-04	1.063274e-04
57	1.142194e-07	1.062174e-04	1.063316e-04
58	1.177070e-07	1.062182e-04	1.063359e-04
59	1.212387e-07	1.062190e-04	1.063402e-04
60	1.247612e-07	1.062199e-04	1.063446e-04
61	1.282584e-07	1.062207e-04	1.063490e-04
62	1.318646e-07	1.062215e-04	1.063534e-04
63	1.356143e-07	1.062223e-04	1.063579e-04
64	1.393731e-07	1.062231e-04	1.063625e-04
65	1.430709e-07	1.062240e-04	1.063671e-04
66	1.467616e-07	1.062249e-04	1.063717e-04
67	1.506185e-07	1.062257e-04	1.063764e-04
68	1.546041e-07	1.062265e-04	1.063811e-04
69	1.586131e-07	1.062273e-04	1.063860e-04
70	1.626175e-07	1.062282e-04	1.063908e-04
71	1.666368e-07	1.062291e-04	1.063957e-04
72	1.707102e-07	1.062299e-04	1.064006e-04
73	1.749107e-07	1.062306e-04	1.064056e-04
74	1.792661e-07	1.062313e-04	1.064106e-04
75	1.837032e-07	1.062319e-04	1.064157e-04
76	1.881228e-07	1.062327e-04	1.064209e-04
77	1.923812e-07	1.062337e-04	1.064261e-04
78	1.963159e-07	1.062348e-04	1.064311e-04
79	2.003241e-07	1.062357e-04	1.064361e-04
80	2.047923e-07	1.062365e-04	1.064413e-04
81	2.093680e-07	1.062373e-04	1.064467e-04
82	2.139481e-07	1.062382e-04	1.064521e-04
83	2.185182e-07	1.062391e-04	1.064576e-04
84	2.229880e-07	1.062402e-04	1.064632e-04
85	2.272024e-07	1.062414e-04	1.064686e-04
86	2.313381e-07	1.062423e-04	1.064737e-04
87	2.361347e-07	1.062429e-04	1.064791e-04
88	2.411573e-07	1.062435e-04	1.064847e-04
89	2.461498e-07	1.062442e-04	1.064904e-04
90	2.510929e-07	1.062449e-04	1.064960e-04
91	2.561125e-07	1.062455e-04	1.065016e-04
92	2.613795e-07	1.062460e-04	1.065074e-04
93	2.667620e-07	1.062465e-04	1.065133e-04
94	2.720223e-07	1.062473e-04	1.065193e-04
95	2.768465e-07	1.062482e-04	1.065251e-04
96	2.814099e-07	1.062491e-04	1.065305e-04
97	2.866386e-07	1.062498e-04	1.065365e-04
98	2.918724e-07	1.062507e-04	1.065426e-04
99	2.970770e-07	1.062516e-04	1.065487e-04
100	3.019930e-07	1.062526e-04	1.065546e-04
