Step	Strain_yy	Stress_yy_MPa
0	0.000000e+00	0.000000e+00
1	2.389452e-05	3.435685e+00
2	4.778904e-05	9.695935e+00
3	7.168356e-05	1.453557e+01
4	9.557808e-05	1.936559e+01
5	1.194726e-04	2.417639e+01
6	1.433671e-04	2.896698e+01
7	1.672616e-04	3.373083e+01
8	1.911562e-04	3.846319e+01
9	2.150507e-04	4.315995e+01
10	2.389452e-04	4.781059e+01
11	2.628397e-04	5.241840e+01
12	2.867342e-04	5.696539e+01
13	3.106288e-04	6.145951e+01
14	3.345233e-04	6.588281e+01
15	3.584178e-04	7.023475e+01
16	3.823123e-04	7.450445e+01
17	4.062068e-04	7.868642e+01
18	4.301013e-04	8.277216e+01
19	4.539959e-04	8.674837e+01
20	4.778904e-04	9.060064e+01
21	5.017849e-04	9.432895e+01
22	5.256794e-04	9.792048e+01
23	5.495739e-04	1.013311e+02
24	5.734685e-04	1.045538e+02
25	5.973630e-04	1.075761e+02
26	6.212575e-04	1.103185e+02
27	6.451520e-04	1.127308e+02
28	6.690465e-04	1.147207e+02
29	6.929411e-04	1.160949e+02
30	7.168356e-04	1.165187e+02
31	7.407301e-04	1.153820e+02
32	7.646246e-04	1.118352e+02
33	7.885191e-04	1.040803e+02
34	8.124137e-04	8.646511e+01
35	8.363082e-04	4.880470e+01
36	8.602027e-04	1.278916e+01
37	8.840972e-04	3.350999e+00
38	9.079917e-04	1.642255e-01
39	9.318863e-04	4.076646e-02
40	9.557808e-04	4.502133e-02
41	9.796753e-04	3.867041e-02
42	1.003570e-03	3.952046e-02
43	1.027464e-03	3.800878e-02
44	1.051359e-03	4.382929e-02
45	1.075253e-03	3.844108e-02
46	1.099148e-03	2.661277e-02
47	1.123042e-03	4.413119e-02
48	1.146937e-03	4.119871e-02
49	1.170831e-03	4.034955e-02
50	1.194726e-03	4.611179e-02
51	1.218620e-03	4.230771e-02
52	1.242515e-03	4.419515e-02
53	1.266410e-03	5.021968e-02
54	1.290304e-03	4.582289e-02
55	1.314199e-03	4.669676e-02
56	1.338093e-03	4.418702e-02
57	1.361988e-03	5.195152e-02
58	1.385882e-03	5.618085e-02
59	1.409777e-03	4.815148e-02
60	1.433671e-03	5.305304e-02
61	1.457566e-03	5.241691e-02
62	1.481460e-03	5.083893e-02
63	1.505355e-03	5.111295e-02
64	1.529249e-03	5.481141e-02
65	1.553144e-03	5.234956e-02
66	1.577038e-03	5.675546e-02
67	1.600933e-03	6.242245e-02
68	1.624827e-03	5.706470e-02
69	1.648722e-03	5.809875e-02
70	1.672616e-03	5.289299e-02
71	1.696511e-03	5.976630e-02
72	1.720405e-03	4.958770e-02
73	1.744300e-03	6.831942e-02
74	1.768194e-03	6.220558e-02
75	1.792089e-03	5.742641e-02
76	1.815983e-03	7.089333e-02
77	1.839878e-03	6.342593e-02
78	1.863773e-03	6.158927e-02
79	1.887667e-03	7.007431e-02
80	1.911562e-03	7.023428e-02
81	1.935456e-03	2.003480e-02
82	1.959351e-03	6.476337e-02
83	1.983245e-03	7.471437e-02
84	2.007140e-03	6.150593e-02
85	2.031034e-03	6.456373e-02
86	2.054929e-03	6.806765e-02
87	2.078823e-03	6.909946e-02
88	2.102718e-03	1.206253e-02
89	2.126612e-03	6.960006e-02
90	2.150507e-03	1.029966e-02
91	2.174401e-03	6.726244e-02
92	2.198296e-03	7.476755e-02
93	2.222190e-03	8.545850e-02
94	2.246085e-03	7.781466e-02
95	2.269979e-03	7.582389e-02
96	2.293874e-03	6.598194e-02
97	2.317768e-03	7.125287e-02
98	2.341663e-03	8.218102e-02
99	2.365557e-03	8.457561e-02
100	2.389452e-03	8.283677e-02
