Step	E_el	E_frac	E_tot
0	0.000000e+00	1.358168e+03	1.358168e+03
1	2.912222e+03	1.380784e+03	4.293006e+03
2	6.527865e+03	1.504372e+03	8.032236e+03
3	1.509225e+04	1.609956e+03	1.670220e+04
4	2.354296e+04	1.707131e+03	2.525009e+04
5	2.892138e+04	1.883004e+03	3.080438e+04
6	3.572433e+04	2.158917e+03	3.788324e+04
7	4.391872e+04	2.599630e+03	4.651835e+04
8	5.392592e+04	3.316801e+03	5.724272e+04
9	6.670886e+04	4.504931e+03	7.121379e+04
10	8.363681e+04	6.570259e+03	9.020707e+04
11	1.057217e+05	1.113299e+04	1.168547e+05
12	1.402257e+05	2.341239e+04	1.636381e+05
13	2.734482e+05	4.511796e+04	3.185662e+05
14	2.341541e+06	5.935897e+04	2.400900e+06
