Step	E_el	E_frac	E_tot
0	1.930397e-04	1.366942e+00	1.367135e+00
1	7.379301e-04	1.366943e+00	1.367681e+00
2	1.660323e-03	1.366943e+00	1.368603e+00
3	2.951635e-03	1.366943e+00	1.369895e+00
4	4.611828e-03	1.366943e+00	1.371555e+00
5	6.640848e-03	1.366943e+00	1.373584e+00
6	9.038644e-03	1.366944e+00	1.375982e+00
7	1.180514e-02	1.366944e+00	1.378749e+00
8	1.494025e-02	1.366945e+00	1.381885e+00
9	1.844389e-02	1.366945e+00	1.385389e+00
10	2.231596e-02	1.366946e+00	1.389262e+00
11	2.655632e-02	1.366948e+00	1.393504e+00
12	3.116486e-02	1.366949e+00	1.398114e+00
13	3.614144e-02	1.366952e+00	1.403093e+00
14	4.148590e-02	1.366954e+00	1.408440e+00
15	4.719809e-02	1.366958e+00	1.414156e+00
16	5.327782e-02	1.366962e+00	1.420239e+00
17	5.972491e-02	1.366966e+00	1.426691e+00
18	6.653916e-02	1.366972e+00	1.433511e+00
19	7.372036e-02	1.366979e+00	1.440699e+00
20	8.126827e-02	1.366986e+00	1.448255e+00
21	8.918265e-02	1.366995e+00	1.456178e+00
22	9.746326e-02	1.367006e+00	1.464469e+00
23	1.061098e-01	1.367017e+00	1.473127e+00
24	1.151220e-01	1.367031e+00	1.482153e+00
25	1.244996e-01	1.367046e+00	1.491545e+00
26	1.342422e-01	1.367063e+00	1.501305e+00
27	1.443496e-01	1.367082e+00	1.511432e+00
28	1.548213e-01	1.367104e+00	1.521925e+00
29	1.656571e-01	1.367128e+00	1.532785e+00
30	1.768565e-01	1.367154e+00	1.544011e+00
31	1.884192e-01	1.367183e+00	1.555603e+00
32	2.003446e-01	1.367216e+00	1.567561e+00
33	2.126325e-01	1.367252e+00	1.579884e+00
34	2.252822e-01	1.367291e+00	1.592573e+00
35	2.382934e-01	1.367334e+00	1.605627e+00
36	2.516656e-01	1.367381e+00	1.619047e+00
37	2.653981e-01	1.367433e+00	1.632831e+00
38	2.794905e-01	1.367489e+00	1.646979e+00
39	2.939422e-01	1.367550e+00	1.661492e+00
40	3.087525e-01	1.367616e+00	1.676369e+00
41	3.239209e-01	1.367688e+00	1.691609e+00
42	3.394466e-01	1.367766e+00	1.707213e+00
43	3.553290e-01	1.367850e+00	1.723179e+00
44	3.715672e-01	1.367941e+00	1.739509e+00
45	3.881607e-01	1.368040e+00	1.756200e+00
46	4.051084e-01	1.368146e+00	1.773254e+00
47	4.224096e-01	1.368260e+00	1.790670e+00
48	4.400633e-01	1.368383e+00	1.808446e+00
49	4.580687e-01	1.368515e+00	1.826584e+00
50	4.764246e-01	1.368657e+00	1.845082e+00
51	4.951299e-01	1.368810e+00	1.863940e+00
52	5.141837e-01	1.368973e+00	1.883157e+00
53	5.335845e-01	1.369149e+00	1.902734e+00
54	5.533312e-01	1.369338e+00	1.922669e+00
55	5.734223e-01	1.369540e+00	1.942962e+00
56	5.938564e-01	1.369756e+00	1.963613e+00
57	6.146318e-01	1.369988e+00	1.984620e+00
58	6.357469e-01	1.370237e+00	2.005984e+00
59	6.571999e-01	1.370504e+00	2.027703e+00
60	6.789886e-01	1.370789e+00	2.049778e+00
61	7.011110e-01	1.371096e+00	2.072207e+00
62	7.235646e-01	1.371424e+00	2.094989e+00
63	7.463470e-01	1.371776e+00	2.118123e+00
64	7.694552e-01	1.372155e+00	2.141610e+00
65	7.928861e-01	1.372561e+00	2.165447e+00
66	8.166361e-01	1.372998e+00	2.189634e+00
67	8.407014e-01	1.373468e+00	2.214170e+00
68	8.650775e-01	1.373975e+00	2.239053e+00
69	8.897594e-01	1.374522e+00	2.264282e+00
70	9.147415e-01	1.375114e+00	2.289856e+00
71	9.400169e-01	1.375756e+00	2.315772e+00
72	9.655772e-01	1.376453e+00	2.342030e+00
73	9.914146e-01	1.377213e+00	2.368627e+00
74	1.017518e+00	1.378043e+00	2.395561e+00
75	1.043873e+00	1.378955e+00	2.422828e+00
76	1.070465e+00	1.379961e+00	2.450426e+00
77	1.097272e+00	1.381078e+00	2.478350e+00
78	1.124268e+00	1.382328e+00	2.506596e+00
79	1.151417e+00	1.383738e+00	2.535155e+00
80	1.178671e+00	1.385349e+00	2.564020e+00
81	1.205962e+00	1.387216e+00	2.593178e+00
82	1.233187e+00	1.389421e+00	2.622608e+00
83	1.260189e+00	1.392090e+00	2.652280e+00
84	1.286707e+00	1.395430e+00	2.682137e+00
85	1.312277e+00	1.399796e+00	2.712073e+00
86	1.336028e+00	1.405827e+00	2.741855e+00
87	1.356192e+00	1.414727e+00	2.770919e+00
88	1.369017e+00	1.428731e+00	2.797748e+00
89	1.366660e+00	1.451472e+00	2.818132e+00
90	1.336232e+00	1.486355e+00	2.822587e+00
91	1.270933e+00	1.530538e+00	2.801470e+00
92	1.186751e+00	1.573086e+00	2.759837e+00
93	1.117398e+00	1.607179e+00	2.724577e+00
94	1.068445e+00	1.631362e+00	2.699808e+00
95	1.050468e+00	1.643551e+00	2.694019e+00
96	1.063035e+00	1.648136e+00	2.711171e+00
97	1.081244e+00	1.650865e+00	2.732108e+00
98	1.101225e+00	1.652693e+00	2.753918e+00
99	1.122103e+00	1.654051e+00	2.776154e+00
100	1.143410e+00	1.655221e+00	2.798631e+00
101	1.165003e+00	1.656317e+00	2.821321e+00
102	1.186834e+00	1.657384e+00	2.844218e+00
103	1.208884e+00	1.658436e+00	2.867320e+00
104	1.231148e+00	1.659479e+00	2.890627e+00
105	1.253626e+00	1.660513e+00	2.914140e+00
106	1.276323e+00	1.661535e+00	2.937858e+00
107	1.299240e+00	1.662542e+00	2.961782e+00
108	1.322377e+00	1.663535e+00	2.985912e+00
109	1.345731e+00	1.664515e+00	3.010246e+00
110	1.369301e+00	1.665485e+00	3.034786e+00
111	1.393084e+00	1.666445e+00	3.059530e+00
112	1.417078e+00	1.667400e+00	3.084478e+00
113	1.441278e+00	1.668351e+00	3.109630e+00
114	1.465684e+00	1.669302e+00	3.134986e+00
115	1.490290e+00	1.670255e+00	3.160545e+00
116	1.515094e+00	1.671213e+00	3.186307e+00
117	1.540093e+00	1.672180e+00	3.212273e+00
118	1.565283e+00	1.673158e+00	3.238440e+00
119	1.590660e+00	1.674150e+00	3.264810e+00
120	1.616221e+00	1.675160e+00	3.291381e+00
121	1.641963e+00	1.676190e+00	3.318154e+00
122	1.667883e+00	1.677244e+00	3.345127e+00
123	1.693975e+00	1.678325e+00	3.372300e+00
124	1.720235e+00	1.679436e+00	3.399672e+00
125	1.746659e+00	1.680582e+00	3.427242e+00
126	1.773242e+00	1.681767e+00	3.455009e+00
127	1.799976e+00	1.682996e+00	3.482972e+00
128	1.826856e+00	1.684274e+00	3.511130e+00
129	1.853874e+00	1.685607e+00	3.539481e+00
130	1.881021e+00	1.687003e+00	3.568024e+00
131	1.908289e+00	1.688466e+00	3.596755e+00
132	1.935669e+00	1.690005e+00	3.625674e+00
133	1.963147e+00	1.691630e+00	3.654777e+00
134	1.990710e+00	1.693351e+00	3.684061e+00
135	2.018345e+00	1.695178e+00	3.713523e+00
136	2.046043e+00	1.697115e+00	3.743158e+00
137	2.073794e+00	1.699170e+00	3.772964e+00
138	2.101593e+00	1.701344e+00	3.802937e+00
139	2.129433e+00	1.703639e+00	3.833072e+00
140	2.157306e+00	1.706059e+00	3.863364e+00
141	2.185191e+00	1.708618e+00	3.893809e+00
142	2.213064e+00	1.711333e+00	3.924397e+00
143	2.240894e+00	1.714223e+00	3.955117e+00
144	2.268637e+00	1.717317e+00	3.985954e+00
145	2.296245e+00	1.720646e+00	4.016891e+00
146	2.323700e+00	1.724207e+00	4.047907e+00
147	2.350984e+00	1.728005e+00	4.078989e+00
148	2.378108e+00	1.732024e+00	4.110132e+00
149	2.405096e+00	1.736238e+00	4.141334e+00
150	2.431964e+00	1.740629e+00	4.172593e+00
151	2.458719e+00	1.745179e+00	4.203898e+00
152	2.485328e+00	1.749919e+00	4.235247e+00
153	2.511854e+00	1.754785e+00	4.266639e+00
154	2.538306e+00	1.759757e+00	4.298063e+00
155	2.564561e+00	1.764951e+00	4.329512e+00
156	2.590732e+00	1.770276e+00	4.361008e+00
157	2.616820e+00	1.775711e+00	4.392530e+00
158	2.642621e+00	1.781366e+00	4.423987e+00
159	2.668227e+00	1.787197e+00	4.455425e+00
160	2.693711e+00	1.793154e+00	4.486865e+00
161	2.718968e+00	1.799291e+00	4.518259e+00
162	2.744050e+00	1.805574e+00	4.549625e+00
163	2.768936e+00	1.812038e+00	4.580974e+00
164	2.793632e+00	1.818682e+00	4.612315e+00
165	2.818154e+00	1.825470e+00	4.643624e+00
166	2.842462e+00	1.832417e+00	4.674879e+00
167	2.866565e+00	1.839543e+00	4.706107e+00
168	2.890492e+00	1.846863e+00	4.737355e+00
169	2.914221e+00	1.854370e+00	4.768591e+00
170	2.937673e+00	1.862110e+00	4.799783e+00
171	2.960945e+00	1.870005e+00	4.830950e+00
172	2.984000e+00	1.878143e+00	4.862143e+00
173	3.006806e+00	1.886411e+00	4.893216e+00
174	3.029014e+00	1.894996e+00	4.924011e+00
175	3.050867e+00	1.903782e+00	4.954649e+00
176	3.072496e+00	1.912754e+00	4.985250e+00
177	3.093789e+00	1.921859e+00	5.015648e+00
178	3.114655e+00	1.931182e+00	5.045837e+00
179	3.135179e+00	1.940704e+00	5.075883e+00
180	3.155390e+00	1.950416e+00	5.105805e+00
181	3.175251e+00	1.960305e+00	5.135556e+00
182	3.194722e+00	1.970436e+00	5.165158e+00
183	3.213866e+00	1.980824e+00	5.194690e+00
184	3.232666e+00	1.991441e+00	5.224106e+00
185	3.251041e+00	2.002296e+00	5.253337e+00
186	3.268891e+00	2.013402e+00	5.282293e+00
187	3.286287e+00	2.024690e+00	5.310977e+00
188	3.303209e+00	2.036249e+00	5.339457e+00
189	3.319700e+00	2.048009e+00	5.367709e+00
190	3.335788e+00	2.059957e+00	5.395745e+00
191	3.351409e+00	2.072107e+00	5.423517e+00
192	3.366540e+00	2.084490e+00	5.451030e+00
193	3.381171e+00	2.097093e+00	5.478265e+00
194	3.395378e+00	2.109941e+00	5.505319e+00
195	3.409120e+00	2.123079e+00	5.532198e+00
196	3.422424e+00	2.136496e+00	5.558920e+00
197	3.435192e+00	2.150148e+00	5.585341e+00
198	3.447216e+00	2.164063e+00	5.611279e+00
199	3.458626e+00	2.178261e+00	5.636887e+00
