Step	E_el	E_frac	E_tot
0	0.000000e+00	2.278197e-23	2.278197e-23
1	1.598549e-08	1.339162e-09	1.732465e-08
2	6.393637e-08	1.348171e-09	6.528454e-08
3	1.438358e-07	1.372065e-09	1.452079e-07
4	2.556552e-07	1.424001e-09	2.570792e-07
5	3.993540e-07	1.522577e-09	4.008766e-07
6	5.748789e-07	1.692679e-09	5.765716e-07
7	7.821605e-07	1.968037e-09	7.841285e-07
8	1.021121e-06	2.383888e-09	1.023505e-06
9	1.291672e-06	2.980196e-09	1.294653e-06
10	1.593714e-06	3.803240e-09	1.597517e-06
11	1.927131e-06	4.905357e-09	1.932036e-06
12	2.291799e-06	6.344509e-09	2.298144e-06
13	2.687580e-06	8.184339e-09	2.695764e-06
14	3.114319e-06	1.049918e-08	3.124818e-06
15	3.571856e-06	1.336133e-08	3.585217e-06
16	4.060014e-06	1.685310e-08	4.076867e-06
17	4.578596e-06	2.107133e-08	4.599667e-06
18	5.127390e-06	2.611743e-08	5.153507e-06
19	5.706166e-06	3.210499e-08	5.738271e-06
20	6.314677e-06	3.915558e-08	6.353832e-06
21	6.952658e-06	4.739995e-08	7.000058e-06
22	7.619841e-06	5.696689e-08	7.676807e-06
23	8.315931e-06	6.800087e-08	8.383932e-06
24	9.040638e-06	8.063559e-08	9.121274e-06
25	9.793626e-06	9.504314e-08	9.888669e-06
26	1.057456e-05	1.113795e-07	1.068594e-05
27	1.138311e-05	1.298066e-07	1.151291e-05
28	1.221885e-05	1.505365e-07	1.236938e-05
29	1.308137e-05	1.737802e-07	1.325515e-05
30	1.397020e-05	1.997881e-07	1.416998e-05
31	1.488480e-05	2.288522e-07	1.511365e-05
32	1.582455e-05	2.613192e-07	1.608587e-05
33	1.678872e-05	2.976143e-07	1.708633e-05
34	1.777639e-05	3.382802e-07	1.811467e-05
35	1.878636e-05	3.840439e-07	1.917040e-05
36	1.981698e-05	4.359034e-07	2.025288e-05
37	2.086592e-05	4.952196e-07	2.136114e-05
38	2.192993e-05	5.636974e-07	2.249363e-05
39	2.300496e-05	6.430012e-07	2.364796e-05
40	2.408714e-05	7.338888e-07	2.482103e-05
41	2.517465e-05	8.360889e-07	2.601074e-05
42	2.626800e-05	9.492670e-07	2.721727e-05
43	2.736614e-05	1.073816e-06	2.843996e-05
44	2.846607e-05	1.210739e-06	2.967681e-05
45	2.956447e-05	1.361112e-06	3.092559e-05
46	3.065771e-05	1.526111e-06	3.218382e-05
47	3.174157e-05	1.707222e-06	3.344879e-05
48	3.281150e-05	1.905939e-06	3.471744e-05
49	3.386284e-05	2.123634e-06	3.598648e-05
50	3.488989e-05	2.362366e-06	3.725226e-05
51	3.588650e-05	2.624295e-06	3.851079e-05
52	3.684633e-05	2.911521e-06	3.975785e-05
53	3.776309e-05	3.226088e-06	4.098917e-05
54	3.862988e-05	3.570625e-06	4.220050e-05
55	3.943974e-05	3.947590e-06	4.338733e-05
56	4.018472e-05	4.359576e-06	4.454429e-05
57	4.085616e-05	4.809459e-06	4.566562e-05
