Step	E_el	E_frac	E_tot
0	0.000000e+00	1.180428e-26	1.180428e-26
1	1.204200e-02	3.161496e-06	1.204516e-02
2	4.816104e-02	5.053418e-05	4.821158e-02
3	1.083772e-01	2.590749e-04	1.086362e-01
4	1.927507e-01	8.406898e-04	1.935914e-01
5	3.013847e-01	2.138594e-03	3.035233e-01
6	4.344315e-01	4.697816e-03	4.391293e-01
7	5.921044e-01	9.400358e-03	6.015048e-01
8	7.746950e-01	1.773136e-02	7.924263e-01
9	9.826090e-01	3.231052e-02	1.014919e+00
10	1.216433e+00	5.789273e-02	1.274326e+00
11	1.477158e+00	1.026533e-01	1.579811e+00
12	1.767040e+00	1.765637e-01	1.943604e+00
13	2.091884e+00	2.786424e-01	2.370526e+00
14	2.461101e+00	3.914301e-01	2.852531e+00
15	2.871405e+00	5.345095e-01	3.405914e+00
16	3.321976e+00	7.482162e-01	4.070192e+00
17	3.835152e+00	1.078078e+00	4.913230e+00
18	4.469558e+00	1.536406e+00	6.005964e+00
19	5.262576e+00	2.154349e+00	7.416925e+00
